project,MERGES_BEFORE,MERGES_AFTER,total_merges,MERGE_EFFORT_BEFORE,MERGE_EFFORT_AFTER,ISSUES_BEFORE,ISSUES_AFTER,total_issues,TOTAL_TIME_BEFORE,TOTAL_TIME_AFTER,LOC_BEFORE,LOC_AFTER,QT_COMMIT_BEFORE,QT_COMMIT_AFTER,NUM_MERGES_PER_100_COMMITS_BEFORE,NUM_MERGES_PER_100_COMMITS_AFTER,AVERAGE_EFFORT_PER_MERGE_BEFORE,AVERAGE_EFFORT_PER_MERGE_AFTER,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_BEFORE,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_AFTER,AVG_K_LOC_PER_COMMIT_BEFORE,AVG_K_LOC_PER_COMMIT_AFTER,ISSUES_KLOC_IN_100_COMMITS_BEFORE,ISSUES_KLOC_IN_100_COMMITS_AFTER,AVG_TIME_PER_ISSUES_BEFORE,AVG_TIME_PER_ISSUES_AFTER,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_BEFORE,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_AFTER
vipshop/Saturn,145,90,235,2696,0,71,30,113,1405,3521,81721424,130016566,996,996,14.558232931726907,9.036144578313253,18.593103448275862,0.0,270.68273092369475,0.0,82.04962248995984,130.53872088353415,0.08688052229731091,0.0230739827415531,19.788732394366196,117.36666666666666,1.7192554060242513,2.708116441100282
openhab/openhab-addons,28,1,29,33,0,397,1216,1652,4949,122355,74934410,185415626,1243,1243,2.252614641995173,0.08045052292839903,1.1785714285714286,0.0,2.6548672566371683,0.0,60.28512469831054,149.1678407079646,0.5297966581707922,0.6558239055860373,12.465994962216625,100.62088815789474,6.6044424717562995,65.9895838552464
lightbend/config,1,3,4,0,1,39,188,249,2086,22878,5931924,13377324,469,469,0.21321961620469082,0.6396588486140725,0.0,0.3333333333333333,0.0,0.21321961620469082,12.648025586353944,28.523078891257995,0.6574595358942562,1.405363284914083,53.48717948717949,121.69148936170212,35.165656201933814,171.0207512354489
kyleduo/SwitchButton,1,1,2,0,0,2,19,26,149,1460,166441,244778,81,81,1.2345679012345678,1.2345679012345678,0.0,0.0,0.0,0.0,2.054827160493827,3.0219506172839505,1.2016270029620106,7.762135486032242,74.5,76.84210526315789,89.52121172066978,596.4588320845828
locationtech/jts,0,1,1,0,0,0,77,77,0,13507,102889757,109572212,721,721,0.0,0.13869625520110956,0.0,0.0,0.0,0.0,142.7042399445215,151.9725547850208,0.0,0.07027329155315401,0.0,175.41558441558442,0.0,12.327030506603261
AnySoftKeyboard/AnySoftKeyboard,6,25,31,2,3,42,233,282,257,76671,145682402,622104863,2668,2668,0.22488755622188905,0.9370314842578711,0.3333333333333333,0.12,0.07496251874062967,0.11244377811094453,54.60359895052474,233.17273725637182,0.028829837662890812,0.037453492788401495,6.119047619047619,329.0600858369099,0.1764111495086414,12.32444955184348
jlegewie/zotfile,1,1,2,0,0,31,111,150,2083,9492,16414223,22688958,520,520,0.19230769230769232,0.19230769230769232,0.0,0.0,0.0,0.0,31.565813461538465,43.63261153846154,0.18886059973719133,0.48922475858080394,67.19354838709677,85.51351351351352,12.690213846857082,41.83532800404497
ninjaframework/ninja,74,97,171,156,1588,32,189,227,1127,31485,33688040,43022907,1073,1073,6.896551724137931,9.040074557315936,2.108108108108108,16.371134020618555,14.538676607642122,147.99627213420314,31.396123019571295,40.09590587138863,0.09498920091522095,0.4393008589586938,35.21875,166.5873015873016,3.345400919732938,73.18194467891256
Netflix/EVCache,8,14,22,0,0,7,9,16,3288,236,1572599,2596853,247,247,3.2388663967611335,5.668016194331984,0.0,0.0,0.0,0.0,6.366797570850202,10.513574898785425,0.44512300974374275,0.3465733331844352,469.7142857142857,26.22222222222222,209.08063657677516,9.087922959058522
jknack/handlebars.java,5,2,7,0,0,73,209,289,775,29785,5067257,12779623,457,457,1.0940919037199124,0.437636761487965,0.0,0.0,0.0,0.0,11.088089715536103,27.964164113785557,1.440621622309664,1.6354160056208231,10.616438356164384,142.51196172248802,15.294270647808077,233.06634319337903
Baeldung/spring-security-oauth,3,1,4,39,1,5,19,26,6,3629,207764,635075,83,83,3.6144578313253013,1.2048192771084338,13.0,1.0,46.98795180722892,1.2048192771084338,2.5031807228915666,7.651506024096386,2.4065766927860457,2.9917726252804786,1.2,191.0,2.8878920313432546,571.4285714285714
jfinal/jfinal,18,95,113,0,4,20,1,23,4892,2478,3767496,6164729,256,256,7.03125,37.109375,0.0,0.042105263157894736,0.0,1.5625,14.71678125,24.08097265625,0.5308565689253552,0.016221313215876967,244.6,2478.0,129.84751675914188,40.19641414894312
rwieruch/favesound-redux,1,3,4,0,0,0,26,26,0,112,481484,956198,185,185,0.5405405405405406,1.6216216216216217,0.0,0.0,0.0,0.0,2.6026162162162163,5.168637837837838,0.0,2.719102110650723,0.0,4.3076923076923075,0.0,11.713055245880037
standardnotes/web,7,3,10,0,0,19,27,49,177,5523,2392791,5760290,316,316,2.2151898734177213,0.9493670886075949,0.0,0.0,0.0,0.0,7.572123417721519,18.22876582278481,0.7940517997601964,0.4687264009277311,9.31578947368421,204.55555555555554,7.397219397766039,95.8805893453281
mikehostetler/amplify,2,2,4,0,114,3,42,45,29,3588,4259093,9722336,109,109,1.834862385321101,1.834862385321101,0.0,57.0,0.0,104.58715596330276,39.074247706422014,89.19574311926606,0.07043753212244955,0.43199494442487896,9.666666666666666,85.42857142857143,0.6808961438503457,36.90471096658252
yujiosaka/headless-chrome-crawler,5,27,32,2,0,24,109,134,5,404,808920,1908582,491,491,1.0183299389002036,5.4989816700611,0.4,0.0,0.4073319755600815,0.0,1.6474949083503054,3.8871323828920574,2.9669188547693226,5.711046211270985,0.20833333333333334,3.706422018348624,0.6181080947436087,21.167547425261265
nhn/tui.chart,26,97,123,11,1255,1,52,53,23,2812,36059244,131739873,1029,1029,2.5267249757045676,9.426627793974733,0.4230769230769231,12.938144329896907,1.0689990281827015,121.96307094266278,35.042997084548105,128.02708746355685,0.0027732139919516893,0.03947172470706724,23.0,54.07692307692308,0.06378392181488886,2.134509420697559
verlok/lazyload,33,94,127,26,1,15,54,70,159,2225,1368949,3568490,337,337,9.792284866468842,27.893175074183976,0.7878787878787878,0.010638297872340425,7.715133531157269,0.29673590504451036,4.062163204747774,10.588991097922849,1.0957311046649656,1.5132450980666894,10.6,41.2037037037037,11.614749709448636,62.35130265182192
