id,name,full_name,owner,framework,private,html_url,description,fork,url,forks_url,keys_url,collaborators_url,teams_url,hooks_url,issue_events_url,events_url,assignees_url,branches_url,tags_url,blobs_url,git_tags_url,git_refs_url,trees_url,statuses_url,languages_url,stargazers_url,contributors_url,subscribers_url,subscription_url,commits_url,git_commits_url,comments_url,issue_comment_url,contents_url,compare_url,merges_url,archive_url,downloads_url,issues_url,pulls_url,milestones_url,notifications_url,labels_url,releases_url,deployments_url,created_at,updated_at,pushed_at,git_url,ssh_url,clone_url,svn_url,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,forks,open_issues,watchers,default_branch,score,id_gitsearch,dt_clone,cd_classe,git_commit1,git_commit2,git_commit3,git_commit4,git_commit5,git_commit6,git_commit7,git_commit8,git_commit9,git_commit10,dt_issues,SHA_clone,has_CI_files,CI_files
41607639,decap,ae6rt/decap,"NamedUser(login=""ae6rt"")",angular-toggle-switch,FALSE,https://github.com/ae6rt/decap,A CI Build Server with a Kubernetes Backend,FALSE,https://api.github.com/repos/ae6rt/decap,https://api.github.com/repos/ae6rt/decap/forks,https://api.github.com/repos/ae6rt/decap/keys{/key_id},https://api.github.com/repos/ae6rt/decap/collaborators{/collaborator},https://api.github.com/repos/ae6rt/decap/teams,https://api.github.com/repos/ae6rt/decap/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,49784,8,8,Go,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/16/2018 23:22,7d5e0719734530d4c9cae15c461170191b688c4a,FALSE,[]
41329545,mastercalendar,ranuga/mastercalendar,"NamedUser(login=""ranuga"")",angular-toggle-switch,FALSE,https://github.com/ranuga/mastercalendar,Master Calendar for Leave Management,FALSE,https://api.github.com/repos/ranuga/mastercalendar,https://api.github.com/repos/ranuga/mastercalendar/forks,https://api.github.com/repos/ranuga/mastercalendar/keys{/key_id},https://api.github.com/repos/ranuga/mastercalendar/collaborators{/collaborator},https://api.github.com/repos/ranuga/mastercalendar/teams,https://api.github.com/repos/ranuga/mastercalendar/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,7340,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,6e0b92543537f6b09e005e38a8a75623e007eefc,FALSE,[]
41285763,sentinel,314t0n/sentinel,"NamedUser(login=""314t0n"")",angular-toggle-switch,FALSE,https://github.com/314t0n/sentinel,,FALSE,https://api.github.com/repos/314t0n/sentinel,https://api.github.com/repos/314t0n/sentinel/forks,https://api.github.com/repos/314t0n/sentinel/keys{/key_id},https://api.github.com/repos/314t0n/sentinel/collaborators{/collaborator},https://api.github.com/repos/314t0n/sentinel/teams,https://api.github.com/repos/314t0n/sentinel/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,26328,0,0,Java,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/16/2018 23:23,394c177aab68503ca690000b8549ed737f78cc84,FALSE,[]
41194464,goitenngaymoi,chiennb/goitenngaymoi,"NamedUser(login=""chiennb"")",angular-toggle-switch,FALSE,https://github.com/chiennb/goitenngaymoi,,FALSE,https://api.github.com/repos/chiennb/goitenngaymoi,https://api.github.com/repos/chiennb/goitenngaymoi/forks,https://api.github.com/repos/chiennb/goitenngaymoi/keys{/key_id},https://api.github.com/repos/chiennb/goitenngaymoi/collaborators{/collaborator},https://api.github.com/repos/chiennb/goitenngaymoi/teams,https://api.github.com/repos/chiennb/goitenngaymoi/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,5576,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,0d7a3b8f49a903410497789d2a02c4fdd8b3fe4a,FALSE,[]
41042138,MedicalApp,qegabbe/MedicalApp,"NamedUser(login=""qegabbe"")",angular-toggle-switch,FALSE,https://github.com/qegabbe/MedicalApp,,FALSE,https://api.github.com/repos/qegabbe/MedicalApp,https://api.github.com/repos/qegabbe/MedicalApp/forks,https://api.github.com/repos/qegabbe/MedicalApp/keys{/key_id},https://api.github.com/repos/qegabbe/MedicalApp/collaborators{/collaborator},https://api.github.com/repos/qegabbe/MedicalApp/teams,https://api.github.com/repos/qegabbe/MedicalApp/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,16134,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,1d242f70b8050e3cc807547b01dc0ad590478aa4,FALSE,[]
41006985,tourneyapp-admin,eabdelmoneim/tourneyapp-admin,"NamedUser(login=""eabdelmoneim"")",angular-toggle-switch,FALSE,https://github.com/eabdelmoneim/tourneyapp-admin,,FALSE,https://api.github.com/repos/eabdelmoneim/tourneyapp-admin,https://api.github.com/repos/eabdelmoneim/tourneyapp-admin/forks,https://api.github.com/repos/eabdelmoneim/tourneyapp-admin/keys{/key_id},https://api.github.com/repos/eabdelmoneim/tourneyapp-admin/collaborators{/collaborator},https://api.github.com/repos/eabdelmoneim/tourneyapp-admin/teams,https://api.github.com/repos/eabdelmoneim/tourneyapp-admin/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,31964,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,fc34d039976b66a78af8522cd5a1bca0e36a1476,FALSE,[]
40397476,TodoApp-master,vijaykani/TodoApp-master,"NamedUser(login=""vijaykani"")",angular-toggle-switch,FALSE,https://github.com/vijaykani/TodoApp-master,My Simple Todo App using MEAN ,FALSE,https://api.github.com/repos/vijaykani/TodoApp-master,https://api.github.com/repos/vijaykani/TodoApp-master/forks,https://api.github.com/repos/vijaykani/TodoApp-master/keys{/key_id},https://api.github.com/repos/vijaykani/TodoApp-master/collaborators{/collaborator},https://api.github.com/repos/vijaykani/TodoApp-master/teams,https://api.github.com/repos/vijaykani/TodoApp-master/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,10032,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,cca4cdb2f63dfe82f20b4380210842b41444e209,FALSE,[]
40248148,digital,mayfender/digital,"NamedUser(login=""mayfender"")",angular-toggle-switch,FALSE,https://github.com/mayfender/digital,,FALSE,https://api.github.com/repos/mayfender/digital,https://api.github.com/repos/mayfender/digital/forks,https://api.github.com/repos/mayfender/digital/keys{/key_id},https://api.github.com/repos/mayfender/digital/collaborators{/collaborator},https://api.github.com/repos/mayfender/digital/teams,https://api.github.com/repos/mayfender/digital/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,3364,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,3f01c4029b815d8ac0a49b810736c6363f7e1e8a,FALSE,[]
40126762,UOW,gadhiya-nilesh/UOW,"NamedUser(login=""gadhiya-nilesh"")",angular-toggle-switch,FALSE,https://github.com/gadhiya-nilesh/UOW,,FALSE,https://api.github.com/repos/gadhiya-nilesh/UOW,https://api.github.com/repos/gadhiya-nilesh/UOW/forks,https://api.github.com/repos/gadhiya-nilesh/UOW/keys{/key_id},https://api.github.com/repos/gadhiya-nilesh/UOW/collaborators{/collaborator},https://api.github.com/repos/gadhiya-nilesh/UOW/teams,https://api.github.com/repos/gadhiya-nilesh/UOW/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,4456,0,0,C#,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,6412c95a366f74f724de2de735b672156e167ac5,FALSE,[]
39869020,AngularAdminDemo,zengboyd/AngularAdminDemo,"NamedUser(login=""zengboyd"")",angular-toggle-switch,FALSE,https://github.com/zengboyd/AngularAdminDemo,Admin Template using AngularJS,FALSE,https://api.github.com/repos/zengboyd/AngularAdminDemo,https://api.github.com/repos/zengboyd/AngularAdminDemo/forks,https://api.github.com/repos/zengboyd/AngularAdminDemo/keys{/key_id},https://api.github.com/repos/zengboyd/AngularAdminDemo/collaborators{/collaborator},https://api.github.com/repos/zengboyd/AngularAdminDemo/teams,https://api.github.com/repos/zengboyd/AngularAdminDemo/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,2388,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,855f8f8bcceb6226cfc9cf8ea14c125411c54e3c,FALSE,[]
39777201,xnbs,lvpeng/xnbs,"NamedUser(login=""lvpeng"")",angular-toggle-switch,FALSE,https://github.com/lvpeng/xnbs,AngularJS project for Wuchuang ,FALSE,https://api.github.com/repos/lvpeng/xnbs,https://api.github.com/repos/lvpeng/xnbs/forks,https://api.github.com/repos/lvpeng/xnbs/keys{/key_id},https://api.github.com/repos/lvpeng/xnbs/collaborators{/collaborator},https://api.github.com/repos/lvpeng/xnbs/teams,https://api.github.com/repos/lvpeng/xnbs/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,15216,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,d9f96a1e0fde96bf409ea0bdf9a2d26db53f7e1f,FALSE,[]
39563292,ScoreCard,hoatre/ScoreCard,"NamedUser(login=""hoatre"")",angular-toggle-switch,FALSE,https://github.com/hoatre/ScoreCard,,FALSE,https://api.github.com/repos/hoatre/ScoreCard,https://api.github.com/repos/hoatre/ScoreCard/forks,https://api.github.com/repos/hoatre/ScoreCard/keys{/key_id},https://api.github.com/repos/hoatre/ScoreCard/collaborators{/collaborator},https://api.github.com/repos/hoatre/ScoreCard/teams,https://api.github.com/repos/hoatre/ScoreCard/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,10768,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,b626cc7ccf8affe49bb7070776aa166b409f9b70,FALSE,[]
39432256,SchoolManage,StarRaven/SchoolManage,"NamedUser(login=""StarRaven"")",angular-toggle-switch,FALSE,https://github.com/StarRaven/SchoolManage,school manage component of the istaoke prorotype,FALSE,https://api.github.com/repos/StarRaven/SchoolManage,https://api.github.com/repos/StarRaven/SchoolManage/forks,https://api.github.com/repos/StarRaven/SchoolManage/keys{/key_id},https://api.github.com/repos/StarRaven/SchoolManage/collaborators{/collaborator},https://api.github.com/repos/StarRaven/SchoolManage/teams,https://api.github.com/repos/StarRaven/SchoolManage/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,6964,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,de35c8ae5a2a99604d2f7d47ea25ad3ad57b1f4b,FALSE,[]
39262662,SikhGyan.github.io-backlog,SikhGyan/SikhGyan.github.io-backlog,"NamedUser(login=""SikhGyan"")",angular-toggle-switch,FALSE,https://github.com/SikhGyan/SikhGyan.github.io-backlog,CourseWare-Hub Portal,FALSE,https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog,https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog/forks,https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog/keys{/key_id},https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog/collaborators{/collaborator},https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog/teams,https://api.github.com/repos/SikhGyan/SikhGyan.github.io-backlog/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,20024,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,64f717ab0e5a80ed564c0999e03db7c154588ab0,FALSE,[]
39062034,web-client,pixicms/web-client,"NamedUser(login=""pixicms"")",angular-toggle-switch,FALSE,https://github.com/pixicms/web-client,,FALSE,https://api.github.com/repos/pixicms/web-client,https://api.github.com/repos/pixicms/web-client/forks,https://api.github.com/repos/pixicms/web-client/keys{/key_id},https://api.github.com/repos/pixicms/web-client/collaborators{/collaborator},https://api.github.com/repos/pixicms/web-client/teams,https://api.github.com/repos/pixicms/web-client/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,2268,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:46,eb32a5fd27615d37d95aa43b20ad8d6bed947fba,FALSE,[]
38693347,obsapp,primavera133/obsapp,"NamedUser(login=""primavera133"")",angular-toggle-switch,FALSE,https://github.com/primavera133/obsapp,,FALSE,https://api.github.com/repos/primavera133/obsapp,https://api.github.com/repos/primavera133/obsapp/forks,https://api.github.com/repos/primavera133/obsapp/keys{/key_id},https://api.github.com/repos/primavera133/obsapp/collaborators{/collaborator},https://api.github.com/repos/primavera133/obsapp/teams,https://api.github.com/repos/primavera133/obsapp/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,1216,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:15,,,,,,,,,,,,7/19/2018 16:46,c176b89304bff8aa83bf2a63e94b19cd6fcfca99,FALSE,[]
38515336,fb,fabienvuilleumier/fb,"NamedUser(login=""fabienvuilleumier"")",angular-toggle-switch,FALSE,https://github.com/fabienvuilleumier/fb,,FALSE,https://api.github.com/repos/fabienvuilleumier/fb,https://api.github.com/repos/fabienvuilleumier/fb/forks,https://api.github.com/repos/fabienvuilleumier/fb/keys{/key_id},https://api.github.com/repos/fabienvuilleumier/fb/collaborators{/collaborator},https://api.github.com/repos/fabienvuilleumier/fb/teams,https://api.github.com/repos/fabienvuilleumier/fb/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:17,,,,,,,9853,1,1,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:15,,,,,,,,,,,,7/16/2018 23:23,cf0a4e839f57483f10187e247e8e75b5bfcb0ab8,TRUE,['.travis.yml']
