id;name;full_name;owner;private;html_url;description;fork;url;forks_url;keys_url;collaborators_url;teams_url;hooks_url;issue_events_url;events_url;assignees_url;branches_url;tags_url;blobs_url;git_tags_url;git_refs_url;trees_url;statuses_url;languages_url;stargazers_url;contributors_url;subscribers_url;subscription_url;commits_url;git_commits_url;comments_url;issue_comment_url;contents_url;compare_url;merges_url;archive_url;downloads_url;issues_url;pulls_url;milestones_url;notifications_url;labels_url;releases_url;deployments_url;created_at;updated_at;pushed_at;git_url;ssh_url;clone_url;svn_url;homepage;size;stargazers_count;watchers_count;language;has_issues;has_projects;has_downloads;has_wiki;has_pages;forks_count;mirror_url;open_issues_count;forks;open_issues;watchers;default_branch;score;id_gitsearch;dt_clone;cd_classe;git_commit1;git_commit2;git_commit3;git_commit4;git_commit5;git_commit6;git_commit7;git_commit8;git_commit9;git_commit10;dt_issues
30410496;agenteAr4k;ar4k/agenteAr4k;"NamedUser(login=""ar4k"")";False;https://github.com/ar4k/agenteAr4k;Studio per interfaccia Ar4k;False;https://api.github.com/repos/ar4k/agenteAr4k;https://api.github.com/repos/ar4k/agenteAr4k/forks;https://api.github.com/repos/ar4k/agenteAr4k/keys{/key_id};https://api.github.com/repos/ar4k/agenteAr4k/collaborators{/collaborator};https://api.github.com/repos/ar4k/agenteAr4k/teams;https://api.github.com/repos/ar4k/agenteAr4k/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:17;;;;;;;144141;0;0;HTML;;;;;;;;;;;;;;14;2018-05-12 15:13:48;;;;;;;;;;;;2018-07-19 16:47:20
30109437;nLight-Service;anishnibodha/nLight-Service;"NamedUser(login=""anishnibodha"")";False;https://github.com/anishnibodha/nLight-Service;NLight Service for kovai Techathon;False;https://api.github.com/repos/anishnibodha/nLight-Service;https://api.github.com/repos/anishnibodha/nLight-Service/forks;https://api.github.com/repos/anishnibodha/nLight-Service/keys{/key_id};https://api.github.com/repos/anishnibodha/nLight-Service/collaborators{/collaborator};https://api.github.com/repos/anishnibodha/nLight-Service/teams;https://api.github.com/repos/anishnibodha/nLight-Service/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:22;;;;;;;1692;0;0;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:13:40;;;;;;;;;;;;2018-07-19 16:47:23
27963475;org.openhab.ui.habmin;openhab/org.openhab.ui.habmin;"NamedUser(login=""openhab"")";False;https://github.com/openhab/org.openhab.ui.habmin;HABmin - a graphical user interface for openHAB 2;False;https://api.github.com/repos/openhab/org.openhab.ui.habmin;https://api.github.com/repos/openhab/org.openhab.ui.habmin/forks;https://api.github.com/repos/openhab/org.openhab.ui.habmin/keys{/key_id};https://api.github.com/repos/openhab/org.openhab.ui.habmin/collaborators{/collaborator};https://api.github.com/repos/openhab/org.openhab.ui.habmin/teams;https://api.github.com/repos/openhab/org.openhab.ui.habmin/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:29;;;;;;;248916;208;208;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:13:11;;;;;;;;;;;;2018-07-16 23:31:15
27288669;dashi3;iiiepe/dashi3;"NamedUser(login=""iiiepe"")";False;https://github.com/iiiepe/dashi3;A simple and customizible dashboard;False;https://api.github.com/repos/iiiepe/dashi3;https://api.github.com/repos/iiiepe/dashi3/forks;https://api.github.com/repos/iiiepe/dashi3/keys{/key_id};https://api.github.com/repos/iiiepe/dashi3/collaborators{/collaborator};https://api.github.com/repos/iiiepe/dashi3/teams;https://api.github.com/repos/iiiepe/dashi3/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:34;;;;;;;3964;1;1;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:13:06;;;;;;;;;;;;2018-07-16 23:31:33
26851672;openi-js-lib;OPENi-ict/openi-js-lib;"NamedUser(login=""OPENi-ict"")";False;https://github.com/OPENi-ict/openi-js-lib;;False;https://api.github.com/repos/OPENi-ict/openi-js-lib;https://api.github.com/repos/OPENi-ict/openi-js-lib/forks;https://api.github.com/repos/OPENi-ict/openi-js-lib/keys{/key_id};https://api.github.com/repos/OPENi-ict/openi-js-lib/collaborators{/collaborator};https://api.github.com/repos/OPENi-ict/openi-js-lib/teams;https://api.github.com/repos/OPENi-ict/openi-js-lib/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:38;;;;;;;1856;0;0;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:12:58;;;;;;;;;;;;2018-07-16 23:31:50
26246085;JessesManager;sunnypatel/JessesManager;"NamedUser(login=""sunnypatel"")";False;https://github.com/sunnypatel/JessesManager;Admin Panel for Managing your Jesse waiter.;False;https://api.github.com/repos/sunnypatel/JessesManager;https://api.github.com/repos/sunnypatel/JessesManager/forks;https://api.github.com/repos/sunnypatel/JessesManager/keys{/key_id};https://api.github.com/repos/sunnypatel/JessesManager/collaborators{/collaborator};https://api.github.com/repos/sunnypatel/JessesManager/teams;https://api.github.com/repos/sunnypatel/JessesManager/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:43;;;;;;;62472;0;0;HTML;;;;;;;;;;;;;;14;2018-05-12 15:12:48;;;;;;;;;;;;2018-07-16 23:31:57
26113177;building-blocks-material;PDI-DGS-Protolab/building-blocks-material;"NamedUser(login=""PDI-DGS-Protolab"")";False;https://github.com/PDI-DGS-Protolab/building-blocks-material;;False;https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material;https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material/forks;https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material/keys{/key_id};https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material/collaborators{/collaborator};https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material/teams;https://api.github.com/repos/PDI-DGS-Protolab/building-blocks-material/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:48;;;;;;;6481;0;0;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:12:46;;;;;;;;;;;;2018-07-16 23:32:03
24676571;active-accounting;activebridge/active-accounting;"NamedUser(login=""activebridge"")";False;https://github.com/activebridge/active-accounting;;False;https://api.github.com/repos/activebridge/active-accounting;https://api.github.com/repos/activebridge/active-accounting/forks;https://api.github.com/repos/activebridge/active-accounting/keys{/key_id};https://api.github.com/repos/activebridge/active-accounting/collaborators{/collaborator};https://api.github.com/repos/activebridge/active-accounting/teams;https://api.github.com/repos/activebridge/active-accounting/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:19:54;;;;;;;3241;2;2;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:12:26;;;;;;;;;;;;2018-07-16 23:37:27
23996209;Savings;eugene-sea/Savings;"NamedUser(login=""eugene-sea"")";False;https://github.com/eugene-sea/Savings;;False;https://api.github.com/repos/eugene-sea/Savings;https://api.github.com/repos/eugene-sea/Savings/forks;https://api.github.com/repos/eugene-sea/Savings/keys{/key_id};https://api.github.com/repos/eugene-sea/Savings/collaborators{/collaborator};https://api.github.com/repos/eugene-sea/Savings/teams;https://api.github.com/repos/eugene-sea/Savings/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:01;;;;;;;23507;1;1;TypeScript;;;;;;;;;;;;;;14;2018-05-12 15:12:17;;;;;;;;;;;;2018-07-16 23:37:31
23075373;allors;KoenVanExem/allors;"NamedUser(login=""KoenVanExem"")";False;https://github.com/KoenVanExem/allors;Allors Platform;False;https://api.github.com/repos/KoenVanExem/allors;https://api.github.com/repos/KoenVanExem/allors/forks;https://api.github.com/repos/KoenVanExem/allors/keys{/key_id};https://api.github.com/repos/KoenVanExem/allors/collaborators{/collaborator};https://api.github.com/repos/KoenVanExem/allors/teams;https://api.github.com/repos/KoenVanExem/allors/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:07;;;;;;;27838;0;0;C#;;;;;;;;;;;;;;14;2018-05-12 15:12:00;;;;;;;;;;;;2018-07-19 16:47:27
