project,sha,merge_effort
microsoft/MixedRealityToolkit-Unity,95ae73e394708c69809e194c286eff0c90a8c24a,0
microsoft/MixedRealityToolkit-Unity,3171753b1bdc6e2567f940c2b2671c874cc59fd0,0
microsoft/MixedRealityToolkit-Unity,bc52608b0103918e3ed34ab121c7d55b7c40ff2b,9
microsoft/MixedRealityToolkit-Unity,78495f65673e9d83da17250048309b9213e02b5c,0
microsoft/MixedRealityToolkit-Unity,8bdf718a48af61f17caa7f30fbc6d43ed710c2ba,0
microsoft/MixedRealityToolkit-Unity,620de4b4ad2759b7c1cf5313b996c27a83f26bad,0
microsoft/MixedRealityToolkit-Unity,3ec95ee58034fe4c2b6fd2e921efd7467f53f870,0
microsoft/MixedRealityToolkit-Unity,ba7dec8df9a9c03bf8100dac576c2276b5838c8c,0
microsoft/MixedRealityToolkit-Unity,ff501808f8ad458cd11d656963643cea59ba633a,0
microsoft/MixedRealityToolkit-Unity,9e9422c87ad8dbabfc2275adc449fb39bb68b03b,0
microsoft/MixedRealityToolkit-Unity,b608949ca07c01176a353b10f433fb2dc69ae1e3,32
microsoft/MixedRealityToolkit-Unity,50a89fa000cb0bbb97e0fec244f2a52e144129f0,0
microsoft/MixedRealityToolkit-Unity,52e3e3917f0945b2d9085fc27b16526bcabd498f,160
microsoft/MixedRealityToolkit-Unity,9921308abf62776938b4754ef1690fc09eb94d13,0
microsoft/MixedRealityToolkit-Unity,6f5b15cd5b67d1773dfb9ad04d81d8c2ceb25432,0
microsoft/MixedRealityToolkit-Unity,c97c8eca8f0891051ce8c9da5466dfaa68222511,0
microsoft/MixedRealityToolkit-Unity,fd5cffe21f17238b4fb13eb1ca3c279e4b14f4e6,0
microsoft/MixedRealityToolkit-Unity,35a955b2e95821f5b3875c8e99e9a73b9491abfe,0
microsoft/MixedRealityToolkit-Unity,1b193d575fe9f437c9d9a10b252c0cf72607f3c3,10
microsoft/MixedRealityToolkit-Unity,405bb16be62b5d1eb18f8e5f39d9d1fe9a962013,0
microsoft/MixedRealityToolkit-Unity,4152c69ca2f98d610082c976d0af430cc94b341b,0
microsoft/MixedRealityToolkit-Unity,06c606aea233b3752a845d0a0c4c4d42fcaaedee,0
microsoft/MixedRealityToolkit-Unity,0ecf8a3b46b00195575f54097367f747f92355fc,0
microsoft/MixedRealityToolkit-Unity,7f094caa6115ee82a53f960a3ed9cd40038913c8,0
microsoft/MixedRealityToolkit-Unity,71ff9ca19d1b553505e3cfeace4d05728b9caff0,0
microsoft/MixedRealityToolkit-Unity,9950c995f38dd50905bd3008c5e44bb65ba6ee2f,0
microsoft/MixedRealityToolkit-Unity,7eb5b659c8c85a8994cbef81eb0a8d271baf234a,0
microsoft/MixedRealityToolkit-Unity,26fd8763223e44260c03a7410fc0cb0dc0445de5,0
microsoft/MixedRealityToolkit-Unity,e6909105166d8d7cf02bf0d998bfa1b36b843d82,0
microsoft/MixedRealityToolkit-Unity,7627ef6b476cf4c523ea4da5d84670d6758ce20c,0
microsoft/MixedRealityToolkit-Unity,fe415b316e3da39161acf9e07a6140e2b787900f,0
microsoft/MixedRealityToolkit-Unity,445c8163590d7b09224dae6a22eb2dc2e0cea230,0
microsoft/MixedRealityToolkit-Unity,bbd2ae6c7967ad2779d463e531206f23d96ed87b,41
microsoft/MixedRealityToolkit-Unity,39525536fc00e0a6cdf334b36a508cac212e2f0c,0
microsoft/MixedRealityToolkit-Unity,65c0ca6b59b5186e1ea643b8bd4d87e9ad089dc0,0
microsoft/MixedRealityToolkit-Unity,bdc1197677b3cf34732f18d3f21d09b08e542e47,0
microsoft/MixedRealityToolkit-Unity,02aaf86fd644f174803b82c1cac5d817abf96dc7,0
microsoft/MixedRealityToolkit-Unity,1d67d8be39f221cffe59e3548637911691e1bb17,0
microsoft/MixedRealityToolkit-Unity,807daad915d0029f78caf3bb3fc4560eb1899eb5,0
microsoft/MixedRealityToolkit-Unity,8de41dd84282840b4012b817cf40fe7edcecd531,0
microsoft/MixedRealityToolkit-Unity,799382551ffa6daf2027153db9d198db779fd4ff,0
microsoft/MixedRealityToolkit-Unity,c33a6c9583bfdbd95ab7325f9fd5c88805965440,0
microsoft/MixedRealityToolkit-Unity,e898ff7f0dc1b43cc84f41c634281c2d4720c57d,0
microsoft/MixedRealityToolkit-Unity,d98360a75f97370af3c2500e4f28620a543e256a,0
microsoft/MixedRealityToolkit-Unity,23fbfee5487b8bcb5727114e7f34a1a31cace021,0
microsoft/MixedRealityToolkit-Unity,5e52fb923d6a2e72aa4adc1f55dcb9a3d64802bf,0
microsoft/MixedRealityToolkit-Unity,2ea7d92a8b7cfd686cbf21c0fe98888014d45856,0
microsoft/MixedRealityToolkit-Unity,825256202fa0857146d6e7fa4a042297c32b3d24,0
microsoft/MixedRealityToolkit-Unity,d1fb6afebfdded0f86f0d886caa9bb196abd6c7c,0
microsoft/MixedRealityToolkit-Unity,2acbb55496aa689541be74f5e4b4f9bfe49b249a,0
microsoft/MixedRealityToolkit-Unity,2f013e7cd62eef685e41e44abdecd10dc744a481,0
microsoft/MixedRealityToolkit-Unity,de9ca57578e889dfa39b26d2a2437cc7d07eca67,0
microsoft/MixedRealityToolkit-Unity,e61c8345a303a159b9ab8217e67d14928aec79c8,0
microsoft/MixedRealityToolkit-Unity,08d3faff5e7bb510cfc7cd884fc6b9c2e9b69f8a,0
microsoft/MixedRealityToolkit-Unity,7821e168ef24996998ebefde7846329f84f9ef02,2
microsoft/MixedRealityToolkit-Unity,335bfc934bb5f864484eb4508f1eadf92402dd97,0
microsoft/MixedRealityToolkit-Unity,bab974c6f0ec81452d87b382afccea219b8f7d86,0
microsoft/MixedRealityToolkit-Unity,01b35fea9eb1a291f03c6425ce2418ecf4312796,2
microsoft/MixedRealityToolkit-Unity,8fd817da051fa3945e78b1936872c50ca420f8b6,0
microsoft/MixedRealityToolkit-Unity,8d29aee49c6ec99ad4dbb81e71b8a798c20e6d33,0
microsoft/MixedRealityToolkit-Unity,dfe208a51672bbfc6280dbb02bb87fea7212649a,0
microsoft/MixedRealityToolkit-Unity,3e7f95235507e2c6c8d81cab1f33920894c024c3,0
microsoft/MixedRealityToolkit-Unity,0de7b91d313a7157b2b2d73fe5f3cdbd9369d540,0
microsoft/MixedRealityToolkit-Unity,9e13a054c29bf0991dba4f16313afd6ec2b7ffb7,297
microsoft/MixedRealityToolkit-Unity,92110d9011dfc341baca5826b320679114df97a5,0
microsoft/MixedRealityToolkit-Unity,b824180ad33a388fe9544259625fb15edd536cf1,0
microsoft/MixedRealityToolkit-Unity,2eff99f740889d7d19f2b1f28e6e67e0c73b35f5,0
microsoft/MixedRealityToolkit-Unity,6613cd440a103b5c7713a2f5c494dbde86cf8270,0
microsoft/MixedRealityToolkit-Unity,6ea58f8b0c998a6f91cc19d5a311d455159c1e8c,0
microsoft/MixedRealityToolkit-Unity,1e40665544e1ee8a72b4e1f5afd30b0411a2e62e,0
